Match_URL,Innings,Batting_Team,Bowling_Team,Position,Player,Out_Status,Runs,Balls,Fours,Sixes,SR
https://www.espncricinfo.com/series/indian-premier-league-2024-1410320/mumbai-indians-vs-lucknow-super-giants-67th-match-1426305/full-scorecard,1,LSG,MI,5,Nicholas Pooran,out,75,29,5,8,258.62
https://www.espncricinfo.com/series/indian-premier-league-2024-1410320/mumbai-indians-vs-lucknow-super-giants-67th-match-1426305/full-scorecard,1,LSG,MI,6,Arshad Khan,out,0,1,0,0,0.00
https://www.espncricinfo.com/series/indian-premier-league-2024-1410320/mumbai-indians-vs-lucknow-super-giants-67th-match-1426305/full-scorecard,1,LSG,MI,7,Ayush Badoni,not out,22,10,1,2,220.00
https://www.espncricinfo.com/series/indian-premier-league-2024-1410320/mumbai-indians-vs-lucknow-super-giants-67th-match-1426305/full-scorecard,1,LSG,MI,8,Krunal Pandya,not out,12,7,1,1,171.42
https://www.espncricinfo.com/series/indian-premier-league-2024-1410320/mumbai-indians-vs-lucknow-super-giants-67th-match-1426305/full-scorecard,2,MI,LSG,1,Rohit Sharma,out,68,38,10,3,178.94
https://www.espncricinfo.com/series/indian-premier-league-2024-1410320/mumbai-indians-vs-lucknow-super-giants-67th-match-1426305/full-scorecard,2,MI,LSG,2,Dewald Brevis,out,23,20,1,2,115.00
https://www.espncricinfo.com/series/indian-premier-league-2024-1410320/mumbai-indians-vs-lucknow-super-giants-67th-match-1426305/full-scorecard,2,MI,LSG,3,Suryakumar Yadav,out,0,3,0,0,0.00
https://www.espncricinfo.com/series/indian-premier-league-2024-1410320/mumbai-indians-vs-lucknow-super-giants-67th-match-1426305/full-scorecard,2,MI,LSG,4,Ishan Kishan †,out,14,15,1,0,93.33
https://www.espncricinfo.com/series/indian-premier-league-2024-1410320/mumbai-indians-vs-lucknow-super-giants-67th-match-1426305/full-scorecard,2,MI,LSG,5,Hardik Pandya (c),out,16,13,1,1,123.07
https://www.espncricinfo.com/series/indian-premier-league-2024-1410320/mumbai-indians-vs-lucknow-super-giants-67th-match-1426305/full-scorecard,2,MI,LSG,6,Nehal Wadhera,out,1,3,0,0,33.33
https://www.espncricinfo.com/series/indian-premier-league-2024-1410320/mumbai-indians-vs-lucknow-super-giants-67th-match-1426305/full-scorecard,2,MI,LSG,7,Naman Dhir,not out,62,28,4,5,221.42
https://www.espncricinfo.com/series/indian-premier-league-2024-1410320/mumbai-indians-vs-lucknow-super-giants-67th-match-1426305/full-scorecard,2,MI,LSG,8,Romario Shepherd,not out,1,1,0,0,100.00
https://www.espncricinfo.com/series/indian-premier-league-2024-1410320/rajasthan-royals-vs-punjab-kings-65th-match-1426303/full-scorecard,1,RR,PBKS,1,Yashasvi Jaiswal,out,4,4,1,0,100.00
https://www.espncricinfo.com/series/indian-premier-league-2024-1410320/rajasthan-royals-vs-punjab-kings-65th-match-1426303/full-scorecard,1,RR,PBKS,2,Tom Kohler-Cadmore,out,18,23,2,1,78.26
https://www.espncricinfo.com/series/indian-premier-league-2024-1410320/rajasthan-royals-vs-punjab-kings-65th-match-1426303/full-scorecard,1,RR,PBKS,3,Sanju Samson (c)†,out,18,15,3,0,120.00
https://www.espncricinfo.com/series/indian-premier-league-2024-1410320/rajasthan-royals-vs-punjab-kings-65th-match-1426303/full-scorecard,1,RR,PBKS,4,Riyan Parag,out,48,34,6,0,141.17
https://www.espncricinfo.com/series/indian-premier-league-2024-1410320/rajasthan-royals-vs-punjab-kings-65th-match-1426303/full-scorecard,1,RR,PBKS,5,Ravichandran Ashwin,out,28,19,3,1,147.36
https://www.espncricinfo.com/series/indian-premier-league-2024-1410320/rajasthan-royals-vs-punjab-kings-65th-match-1426303/full-scorecard,1,RR,PBKS,6,Dhruv Jurel,out,0,1,0,0,0.00
https://www.espncricinfo.com/series/indian-premier-league-2024-1410320/rajasthan-royals-vs-punjab-kings-65th-match-1426303/full-scorecard,1,RR,PBKS,7,Rovman Powell,out,4,5,1,0,80.00
https://www.espncricinfo.com/series/indian-premier-league-2024-1410320/rajasthan-royals-vs-punjab-kings-65th-match-1426303/full-scorecard,1,RR,PBKS,8,Donovan Ferreira,out,7,8,0,0,87.50
https://www.espncricinfo.com/series/indian-premier-league-2024-1410320/rajasthan-royals-vs-punjab-kings-65th-match-1426303/full-scorecard,1,RR,PBKS,9,Trent Boult,out,12,9,2,0,133.33
https://www.espncricinfo.com/series/indian-premier-league-2024-1410320/rajasthan-royals-vs-punjab-kings-65th-match-1426303/full-scorecard,1,RR,PBKS,10,Avesh Khan,not out,3,2,0,0,150.00
https://www.espncricinfo.com/series/indian-premier-league-2024-1410320/rajasthan-royals-vs-punjab-kings-65th-match-1426303/full-scorecard,2,PBKS,RR,1,Prabhsimran Singh,out,6,4,1,0,150.00
https://www.espncricinfo.com/series/indian-premier-league-2024-1410320/rajasthan-royals-vs-punjab-kings-65th-match-1426303/full-scorecard,2,PBKS,RR,2,Jonny Bairstow †,out,14,22,1,0,63.63
https://www.espncricinfo.com/series/indian-premier-league-2024-1410320/rajasthan-royals-vs-punjab-kings-65th-match-1426303/full-scorecard,2,PBKS,RR,3,Rilee Rossouw,out,22,13,5,0,169.23
https://www.espncricinfo.com/series/indian-premier-league-2024-1410320/rajasthan-royals-vs-punjab-kings-65th-match-1426303/full-scorecard,2,PBKS,RR,4,Shashank Singh,out,0,2,0,0,0.00
https://www.espncricinfo.com/series/indian-premier-league-2024-1410320/rajasthan-royals-vs-punjab-kings-65th-match-1426303/full-scorecard,2,PBKS,RR,5,Sam Curran (c),not out,63,41,5,3,153.65
https://www.espncricinfo.com/series/indian-premier-league-2024-1410320/rajasthan-royals-vs-punjab-kings-65th-match-1426303/full-scorecard,2,PBKS,RR,6,Jitesh Sharma,out,22,20,0,2,110.00
