name,image,batting_style,bowling_style,playing_role,description
Mitchell Aaron Starc,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/390900/390978.5.png",Left hand Bat,Left arm Fast,Bowler,"Mitchell Starc player profile First there was Johnson, then there was Starc. A left-armer called Mitchell has been a staple of Australia's attack for more than a decade and Starc will go down as one of the country's finest all-format bowlers. While Johnson was more express, Starc is still quick enough to make life uncomfortable for opposition batsmen, especially with the bounce gained from his 1.96m height - and boasts greater control of swing than his former colleague. Never was that shown to greater effect than during the 2015 World Cup, when Starc was at times unplayable, his inswingers rattling stumps and trapping batsmen in front throughout the competition. Not surprisingly he was named Player of the Tournament for his 22 victims at 10.18. Four years later he would claim 27 wickets at the World Cup in England when Australia's defence ended in the semi-finals and in 2023 added a further 16. By the end of the 2024 T20 World Cup he was the leading wicket-taker across all World Cups."
Suyash Sharma,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/358000/358041.1.png",Right hand Bat,Legbreak Googly,Bowler,
Varun Chakravarthy Vinod,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/331100/331167.1.png",Right hand Bat,Legbreak Googly,Bowler,
Angus Alexander Patrick Atkinson,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/387400/387416.6.png",Right hand Bat,Right arm Fast medium,Bowler,"Gus Atkinson surged into England's 50-over World Cup squad in 2023 as a wildcard selection, making his international debut a month before the tournament started. Already on the selectors' radar after impressing for Surrey in the County Championship, he was clocked at 95mph during a vicious spell to Jos Buttler during the Hundred which clinched his spot. He played three games at the tournament itself, taking four wickets, but was named in the Test squad for the tour to India in early 2024. It was not until June 2024 that he made his debut but it proved worth the wait: he upstaged James Anderson's farewell with 7 for 45 in the first innings and 12 for 106 in the match against West Indies, and was named player of the series after 22 wickets in his first three Tests."
Mujeeb Ur Rahman,"https://wassets.hscicdn.com/static/images/lazyimage-transparent.png,Right hand Bat,Right arm Offbreak,Bowler","Offspinner Mujeeb ur Rahman has followed in the footsteps of his superstar compatriot Rashid Khan, mixing up offbreaks with legspin and ripping googlies and making a splash in T20 leagues around the world. At 16, Mujeeb was part of an Afghanistan Under-19 side that dismantled Bangladesh 3-1 away in 2017. Bowling predominantly with the new ball, he took eight wickets in the first three games of that series and 7 for 19 in the fourth, where Afghanistan successfully defended 134. The month after, he starred in a historic U-19 Asia Cup title win for Afghanistan, taking 5 for 13 as his team beat Pakistan in the final."
Kannaur Lokesh Rahul,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/319900/319942.3.png",Right hand Bat,,Wicketkeeper Batter,"KL Rahul player profile A tall, elegant right-hand batter who can keep wicket in a crisis, KL Rahul is among the most highly rated opening batters in India's next generation. Rahul was a part of India's squad in the 2010 Under-19 World Cup and made his first-class debut later that year. Having taken a while to establish himself as a first-class cricketer, he enjoyed a breakthrough 2013-14 season, laying the foundation for Karnataka's Ranji Trophy victory with 1033 runs, which included three centuries, three nineties, and a Man-of-the-Match performance in the final."
Ayush Badoni,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/392000/392090.5.png",Right hand Bat,Right arm Offbreak,Batter,
Quinton de Kock,"https://wassets.hscicdn.com/static/images/lazyimage-transparent.png",Left hand Bat,,Wicketkeeper Batter,"Quinton de Kock player profile Quinton de Kock's fearless striking and handy glovework earned him comparisons to greats of the game like Adam Gilchrist and Mark Boucher early in his career. By 21, he shared the record for the most successive ODI centuries - three - before it was bettered by Kumar Sangakkara. A year later, he had established himself in all three formats for South Africa."
Devdutt Padikkal,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/322200/322229.1.png",Left hand Bat,Right arm Offbreak,Top order Batter,"Devdutt Padikkal IPL factfile - An elegant left-hand top-order batter, Karnataka's Devdutt Padikkal was picked up at the auction ahead of IPL 2020 by Royal Challengers Bengaluru (RCB). - Padikkal racked up 473 runs in his first IPL season and won the award for best emerging player."
Nicholas Pooran,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/320100/320109.2.png",Left hand Bat,Right arm Offbreak,Wicketkeeper Batter,"Nicholas Pooran player profile Nicholas Pooran confirmed his status as one of the most exciting young batting talents in the modern game with a sublime innings of 118 off 103 in West Indies' defeat to Sri Lanka at the 2019 World Cup, but only four years earlier the idea that he would play international cricket seemed fanciful. A year after finishing as the fourth-highest run-scorer at the U-19 World Cup in early 2014, Pooran was involved in a serious car accident which left him with a torn patella tendon, fractured tibia and fractured ankle. After a long recovery process, he was handy a substantial contract for Barbados Tridents in the 2016 CPL on Kieron Pollard's recommendation. Unsure whether his body would continue to hold up, Pooran looked to maximise his earnings by playing in every franchise league he could including the BPL, the PSL, the Hong Kong Blitz, the T10 and for West Indies B in the Global T20 Canada. His first BPL deal, in 2016-17, earned him a ban from the WICB, who were displeased at his decision not to play regional cricket instead."
